Year,Team,Finish,TourneyWins,Weekend,Seed,Tempo,AdjTempo,OE,AdjOE,DE,AdjDE,AdjEM,eFGPct,TOPct,ORPct,FTRate,OppeFGPct,OppTOPct,OppORPct,OppFTRate,FG2Pct,FG3Pct,FTPct,BlockPct,OppFG2Pct,OppFG3Pct,OppFTPct,OppBlockPct,FG3Rate,OppFG3Rate,ARate,OppARate,StlRate,OppStlRate
2002,2002 Ohio St.,G.Second Round,2,1,4,66.3782,66.4133,111.339,116.892,96.5748,96.0636,20.8285,53.6134,19.7102,35.707,46.7098,49.2836,22.4724,31.5068,36.3582,52.589,37.5536,67.5472,6.8306,49.9089,32.0624,70.1149,8.8997,27.3796,34.4478,58.5455,54.8431,0.0904,0.0744
2002,2002 Oklahoma,C. Final Four,5,3,2,69.3604,65.8584,111.044,113.306,91.4413,88.4422,24.8637,49.4958,17.0283,40.0738,31.3897,44.898,23.2349,31.7073,42.1939,48.2265,35.0148,76.676,9.6264,44.8994,29.9296,68.5611,8.1518,29.5484,28.9796,51.1375,55.4717,0.1293,0.0824
2002,2002 Oklahoma St.,H. First Round,1,1,7,68.8801,65.7045,103.935,107.591,92.8097,91.8978,15.6932,49.3022,22.0639,41.4655,38.0032,45.4595,22.7888,33.1936,30.1251,49.3718,32.7451,64.4068,8.641,45.1689,30.742,68.231,8.8692,27.3752,30.7776,55.0898,51.0013,0.1124,0.0997
2002,2002 Oregon,D. Elite Eight,4,2,2,73.3053,70.5594,116.342,119.924,96.8665,95.8006,24.1236,56.1759,18.4544,33.9044,41.6008,47.7799,20.2365,32.5545,32.4516,52.352,42.2096,77.0784,7.0243,46.4879,34.3013,67.9767,6.6009,34.8814,26.0274,57.085,45.2563,0.099,0.0927
2002,2002 Penn,H. First Round,1,1,11,65.6728,65.1685,109.541,109.308,94.2234,96.9278,12.3806,55.7319,19.7174,26.7137,35.8025,46.7213,21.3566,31.6163,30.3561,53.0948,39.8801,73.2348,9.2308,44.8718,33.5559,71.8808,7.9304,39.2122,33.8609,68.8344,55.0964,0.0979,0.1035
2002,2002 Pepperdine,H. First Round,1,1,10,74.1445,72.4766,107.055,110.976,99.0433,98.2587,12.7171,51.2284,19.363,33.9441,33.7167,47.5166,22.988,37.0719,41.4459,49.5746,36.4516,71.4729,12.603,43.7397,36.7893,72.1704,5.7231,32.4098,33.0022,48.4429,57.3901,0.0933,0.0752
2002,2002 Pittsburgh,F.Sweet 16,3,2,3,66.5007,63.3188,107.34,111.804,90.1442,92.5312,19.2728,52.5836,21.0546,38.796,38.0446,44.1662,22.029,30.5271,31.3371,54.7988,32.2581,60.4527,11.9175,44.6142,28.8217,69.5222,9.4427,34.5491,32.4213,63.5776,54.902,0.0991,0.0792
2002,2002 San Diego St.,H. First Round,1,1,13,70.8861,69.7602,103.141,106.815,98.7068,96.454,10.3606,50.8681,21.458,34.982,39.8264,48.2242,20.7616,31.3692,44.6726,50.104,35.75,65.6676,9.6463,47.4277,33.3333,68.0745,7.8309,21.7037,30.9656,51.5012,56.1856,0.094,0.111
2002,2002 Siena,H. First Round,1,1,16,68.8425,66.0443,98.693,100.099,96.3688,101.835,-1.73585,47.8474,21.5016,31.0185,36.8885,45.5202,20.7979,31.7438,40.9441,45.6127,34.626,74.4032,11.3308,42.6616,33.6399,69.6471,10.5144,35.3229,36.657,54.5135,57.8947,0.0778,0.102
2002,2002 Southern Illinois,F.Sweet 16,3,2,11,70.9269,70.9955,107.092,108.06,94.3099,95.3563,12.7039,51.3475,19.4219,36.1527,41.6076,45.3892,21.628,32.3682,42.1418,49.9339,36.6057,61.9318,11.8257,42.047,35.9019,69.8824,6.7371,28.4161,28.3094,56.0451,47.7245,0.1036,0.0938
